Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecada=C3=A7=C3=A3o_Total,Ganhadores_15_N=C3=BAmeros,Cidade,Ganhadores_14_N=C3=BAmeros,Ganhadores_13_N=C3=BAmeros,Ganhadores_12_N=C3=BAmeros,Ganhadores_11_N=C3=BAmeros,Valor_Rateio_15_N=C3=BAmeros,Valor_Rateio_14_N=C3=BAmeros,Valor_Rateio_13_N=C3=BAmeros,Valor_Rateio_12_N=C3=BAmeros,Valor_Rateio_11_N=C3=BAmeros,Acumulado_15_N=C3=BAmeros,Estimativa_Pr=C3=AAmio,Valor_Acumulado_Especial
1136,24/11/2014,1.0,2.0,5.0,006=,7.0,9.0,10.0,11.0,15.0,17.0,18.0,19.0,21.0,22.0,024,"R$20.921.= 626,50",4.0,IGARAP=C3=89 GRANDEMA GUA=C3=8DBARS COTIASP,IGARAP=C3=89 GRANDE,MA,GUA=C3=8DBA,RS,COTIA,SP,504,17203,213223,1189269,"R= $466.867,51","R$1.628,70"
1137,26/11/2014,2.0,4.0,5.0,007=,8.0,9.0,10.0,11.0,12.0,15.0,19.0,20.0,21.0,23.0,025,"R$20.278.= 443,00",2.0,SEABRABA S=C3=83O PAULOSP,SEABRA,BA,S=C3=83O PAULO,SP,560,19417,232427,1200513,"R= $827.881,58","R$1.299,65","R$15,00","R$6,00"
1138,28/11/2014,1.0,2.0,3.0,005=,6.0,7.0,10.0,11.0,13.0,15.0,16.0,18.0,20.0,21.0,022,"R$21.545.= 073,00",4.0,BETIMMG CuritibaPR SANTOSSP S=C3=83O VICENTESP,BETIM,MG,Curitiba,PR,SANTOS,SP,S=C3=83O VICENTE,SP,1076,31382,310119,1257078
1139,01/12/2014,1.0,2.0,3.0,006=,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0,025,"R$21.896.= 175,00",1.0,S=C3=83O VICENTESP,S=C3=83O VICENTE,SP,303,12072,181076,1177788,"R= $2.201.111,46","R$2.235,20","R$15,00","R$6,00","R$3= ,00","R$0,00"
1140,03/12/2014,3.0,4.0,5.0,006=,7.0,8.0,10.0,15.0,18.0,19.0,20.0,21.0,23.0,24.0,025,"R$21.978.= 538,50",0.0,,386,15516,209836,1298920,"R= $0,00","R$1.554,60","R$15,00","R$6,00","R$3,00","R$1.950.242,52","R$5.000.000,00","R$15.711.007,08"
1141,05/12/2014,5.0,6.0,9.0,010=,11.0,12.0,13.0,15.0,16.0,17.0,18.0,22.0,23.0,24.0,025,"R$32.211.= 505,50",4.0,BRAS=C3=8DLIADF ITAPECURU-MIRIMMA CAMPINASSP SANTOSSP,BRAS=C3=8DLIA,DF,ITAPECURU-MIRIM,MA,CAMPINAS,SP,SANTOS,SP,592,23206,314532,1920172
1142,08/12/2014,2.0,4.0,7.0,008=,9.0,10.0,12.0,13.0,15.0,16.0,19.0,20.0,22.0,23.0,024,"R$20.365.= 473,00",2.0,RIO DE JANEIRORJ S=C3=83O PAULOSP,RIO DE JANEIRO,RJ,S=C3=83O PAULO,SP,836,23198,256342,1263713,"R= $747.916,43","R$786,49","R$15,00","R$6,00"
1143,10/12/2014,1.0,3.0,4.0,006=,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,23.0,24.0,025,"R$21.894.= 064,50",4.0,RIO BRANCOAC MACAP=C3=81AP BRAS=C3=8DLIADF S=C3=83O BERNARDO DO CAMPOSP,RIO BRANCO,AC,MACAP=C3=81,AP,BRAS=C3=8DLIA,DF,S=C3=83O BERNARDO DO CAMPO,SP,571,18883,239090,1289297
1144,12/12/2014,2.0,3.0,4.0,006=,7.0,8.0,10.0,13.0,14.0,17.0,18.0,19.0,23.0,24.0,025,"R$22.449.= 136,50",6.0,UBERL=C3=82NDIAMG ITAPERUNARJ JOINVILLESC CARM=C3=93POLISSE GUARULHOSSP S=C3=83O PAULOSP,UBERL=C3=82NDIA,MG,ITAPERUNA,RJ,JOINVILLE,SC,CARM=C3=93POLIS,SE,GUARULHOS,SP,S=C3=83O PAULO,SP
1145,15/12/2014,3.0,4.0,5.0,006=,8.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,23.0,024,"R$21.795.= 334,50",6.0,FEIRA GRANDEAL TR=C3=8AS PONTASMG JI-PARAN=C3=81RO AracajuSE ITAPIRASP MOGI GUA=C3=87USP,FEIRA GRANDE,AL,TR=C3=8AS PONTAS,MG,JI-PARAN=C3=81,RO,Aracaju,SE,ITAPIRA,SP,MOGI GUA=C3=87U,SP
1146,17/12/2014,2.0,3.0,4.0,005=,7.0,11.0,13.0,15.0,17.0,18.0,19.0,21.0,22.0,24.0,025,"R$21.439.= 993,50",4.0,VARJ=C3=83O DE MINASMG GOIANAPE IPOJUCAPE S=C3=83O PAULOSP,VARJ=C3=83O DE MINAS,MG,GOIANA,PE,IPOJUCA,PE,S=C3=83O PAULO,SP,651,23815,279365,1411948
1147,19/12/2014,1.0,6.0,7.0,008=,9.0,11.0,12.0,14.0,15.0,16.0,18.0,19.0,20.0,22.0,025,"R$22.306.= 797,00",1.0,MARING=C3=81PR,MARING=C3=81,PR,301,12821,190465,1092199,"R= $2.369.438,83","R$2.422,12","R$15,00","R$6,00","R$3= ,00","R$0,00"
1148,22/12/2014,1.0,3.0,4.0,005=,6.0,9.0,10.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,024,"R$21.472.= 791,00",2.0,RIO DE JANEIRORJ BALNE=C3=81RIO PI=C3=87ARRASSC,RIO DE JANEIRO,RJ,BALNE=C3=81RIO PI=C3=87ARRAS,SC,322,12633,187656,1130100,"R= $1.079.807,50","R$2.063,65","R$15,00","R$6,00"
1149,24/12/2014,1.0,2.0,3.0,006=,7.0,8.0,10.0,12.0,15.0,17.0,18.0,19.0,21.0,22.0,023,"R$16.928.= 112,00",2.0,GOI=C3=82NIAGO PALMEIRA DAS MISS=C3=95ESRS,GOI=C3=82NIA,GO,PALMEIRA DAS MISS=C3=95ES,RS,429,14289,186969,984735,"R$= 719.185,53","R$1.473,77","R$15,00","R$6,00"
1150,26/12/2014,5.0,7.0,8.0,009=,11.0,12.0,13.0,14.0,15.0,17.0,18.0,20.0,22.0,23.0,024,"R$16.506.= 418,50",2.0,LIMOEIROPE FOZ DO IGUA=C3=87UPR,LIMOEIRO,PE,FOZ DO IGUA=C3=87U,PR,482,16197,195615,1064448,"R= $604.238,68","R$1.102,07","R$15,00","R$6,00"
1151,29/12/2014,1.0,3.0,7.0,009=,10.0,11.0,12.0,14.0,15.0,16.0,20.0,21.0,22.0,24.0,025,"R$20.099.= 499,00",4.0,CuritibaPR MANGARATIBARJ IPIRANGA DO SULRS S=C3=83O PAULOSP,Curitiba,PR,MANGARATIBA,RJ,IPIRANGA DO SUL,RS,S=C3=83O PAULO,SP,460,17742,209598,1093353
1152,31/12/2014,3.0,4.0,5.0,007=,8.0,9.0,10.0,12.0,16.0,18.0,19.0,20.0,21.0,22.0,025,"R$15.654.= 193,50",2.0,SALVADORBA ARACRUZES,SALVADOR,BA,ARACRUZ,ES,259,9757,135337,836435,"R$7= 78.768,69","R$1.850,36","R$15,00","R$6,00"
1153,02/01/2015,1.0,2.0,3.0,005=,6.0,8.0,9.0,12.0,13.0,15.0,18.0,19.0,20.0,24.0,025,"R$14.996.= 847,00",3.0,UBERL=C3=82NDIAMG SEARASC ARA=C3=87ATUBASP,UBERL=C3=82NDIA,MG,SEARA,SC,ARA=C3=87ATUBA,SP,522,15414,174490,910818,"R$= 392.949,95","R$992,67"
1154,05/01/2015,1.0,3.0,4.0,005=,10.0,11.0,13.0,15.0,16.0,17.0,19.0,21.0,23.0,24.0,025,"R$20.268.= 645,00",0.0,,702,31672,294190,1344456,"R= $0,00","R$754,55","R$15,00","R$6,00","R$3,00","R$3.500.000,00","R$21.164.888,89",
1155,07/01/2015,1.0,2.0,3.0,004=,8.0,9.0,12.0,13.0,15.0,16.0,18.0,19.0,22.0,24.0,025,"R$29.107.= 575,00",8.0,MALHADA DE PEDRASBA SALVADORBA FORTALEZACE ASSIS CHATEAUBRIANDPR TR=C3=8AS PASSOSRS ITUSP SUZANOSP DIAN=C3=93POLISTO,MALHADA DE PEDRAS,BA,SALVADOR,BA,FORTALEZA,CE,ASSIS CHATEAUBRIAND,PR,TR=C3=8AS PASSOS,RS,ITU,SP
1156,09/01/2015,1.0,3.0,4.0,006=,7.0,11.0,12.0,13.0,14.0,15.0,17.0,21.0,22.0,24.0,025,"R$23.711.= 176,50",0.0,,420,16951,252050,1362970,"R= $0,00","R$1.527,33","R$15,00","R$6,00","R$3,00","R$2.084.801,18","R$3.500.000,00","R$22.124.874,34"
1157,12/01/2015,2.0,4.0,5.0,006=,7.0,8.0,11.0,12.0,13.0,15.0,16.0,18.0,21.0,22.0,024,"R$29.688.= 457,50",6.0,CHAPAD=C3=83O DO SULMS CuritibaPR LONDRINAPR ARA=C3=87ATUBASP SorocabaSP,CHAPAD=C3=83O DO SUL,MS,Curitiba,PR,LONDRINA,PR,ARA=C3=87ATUBA,SP,Sorocaba,SP,937,30766
1158,14/01/2015,2.0,3.0,5.0,007=,10.0,13.0,14.0,15.0,16.0,17.0,19.0,20.0,22.0,24.0,025,"R$22.796.= 412,00",9.0,Eun=C3=A1polisBA AN=C3=81POLISGO Curvel=C3=A2ndiaMT JI-PARAN=C3=81RO SANTOSSP SERT=C3=83OZINHOSP ARAGUA=C3=8DNATO Monte Santo do TocantinsTO PALMASTO,Eun=C3=A1polis,BA,AN=C3=81POLIS,GO,Curvel=C3=A2ndia,MT,JI-PARAN=C3=81,RO,SANTOS,SP,SERT=C3=83OZINHO,SP
1159,16/01/2015,1.0,2.0,3.0,004=,6.0,8.0,9.0,14.0,15.0,16.0,17.0,22.0,23.0,24.0,025,"R$23.047.= 405,50",3.0,RONDON=C3=93POLISMT MARING=C3=81PR RIBEIR=C3=83O PIRESSP,RONDON=C3=93POLIS,MT,MARING=C3=81,PR,RIBEIR=C3=83O PIRES,SP,562,22730,231018,1275540,"R= $696.391,36","R$1.634,01"
1160,19/01/2015,2.0,4.0,5.0,006=,7.0,8.0,10.0,11.0,15.0,16.0,17.0,18.0,21.0,22.0,025,"R$21.972.= 724,50",3.0,BEL=C3=89MPA SANTA IN=C3=8ASPR OS=C3=93RIORS,BEL=C3=89M,PA,SANTA IN=C3=8AS,PR,OS=C3=93RIO,RS,424,16434,222231,1185333,"R= $688.006,87","R$1.497,84"
1161,21/01/2015,1.0,2.0,4.0,005=,6.0,8.0,10.0,11.0,15.0,17.0,18.0,19.0,22.0,24.0,025,"R$20.973.= 367,50",5.0,BELO HORIZONTEMG UBERL=C3=82NDIAMG MAMBOR=C3=8APR JARAGU=C3=81 DO SULSC AracajuSE,BELO HORIZONTE,MG,UBERL=C3=82NDIA,MG,MAMBOR=C3=8A,PR,JARAGU=C3=81 DO SUL,SC,Aracaju,SE,1035,26534
1162,23/01/2015,1.0,3.0,4.0,007=,9.0,11.0,13.0,15.0,18.0,19.0,20.0,21.0,23.0,24.0,025,"R$22.027.= 903,50",11.0,CAMA=C3=87ARIBA SALVADORBA VILA VELHAES JO=C3=83O PINHEIROMG RIO DE JANEIRORJ BAURUSP CAMPINASSP GUARULHOSSP PINDORAMASP SANTOSSP S=C3=83O PAULOSP,CAMA=C3=87ARI,BA,SALVADOR,BA,VILA VELHA,ES,JO=C3=83O PINHEIRO,MG,RIO DE JANEIRO,RJ,BAURU,SP
1163,26/01/2015,2.0,6.0,7.0,009=,11.0,12.0,13.0,14.0,16.0,17.0,19.0,20.0,21.0,23.0,024,"R$21.768.= 279,00",1.0,TeresinaPI,Teresina,PI,576,20836,242672,1236105,"R= $1.867.921,45","R$1.425,45","R$15,00","R$6,00","R$3= ,00","R$0,00"
1164,28/01/2015,3.0,4.0,5.0,008=,10.0,11.0,13.0,15.0,17.0,20.0,21.0,22.0,23.0,24.0,025,"R$21.174.= 309,00",7.0,MORRINHOSGO ALFENASMG CORINTOMG DOURADOSMS S=C3=83O GON=C3=87ALORJ MOJI MIRIMSP S=C3=83O PAULOSP,MORRINHOS,GO,ALFENAS,MG,CORINTO,MG,DOURADOS,MS,S=C3=83O GON=C3=87ALO,RJ,MOJI MIRIM,SP
1165,30/01/2015,1.0,2.0,3.0,005=,8.0,9.0,10.0,12.0,15.0,17.0,18.0,19.0,21.0,22.0,025,"R$22.397.= 730,00",2.0,AN=C3=81POLISGO CAMPINASSP,AN=C3=81POLIS,GO,CAMPINAS,SP,589,20036,251573,1397441,"R= $877.464,49","R$1.309,67","R$15,00","R$6,00"
1166,02/02/2015,2.0,4.0,5.0,006=,9.0,10.0,12.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,024,"R$21.832.= 158,00",3.0,SALVADORBA AN=C3=81POLISGO BEL=C3=89MPA,SALVADOR,BA,AN=C3=81POLIS,GO,BEL=C3=89M,PA,686,22016,246471,1245506,"R= $616.486,15","R$1.185,05"
1167,04/02/2015,1.0,2.0,4.0,005=,7.0,8.0,9.0,11.0,12.0,14.0,15.0,16.0,18.0,21.0,023,"R$21.746.= 151,00",4.0,ITUMBIARAGO DIVIN=C3=93POLISMG CAMPO GRANDEMS PRAIA GRANDESP,ITUMBIARA,GO,DIVIN=C3=93POLIS,MG,CAMPO GRANDE,MS,PRAIA GRANDE,SP,640,20502,232789,1234202
1168,06/02/2015,1.0,3.0,4.0,005=,7.0,8.0,9.0,10.0,11.0,13.0,16.0,19.0,23.0,24.0,025,"R$22.452.= 838,50",5.0,MANAUSAM AN=C3=81POLISGO RIO DE JANEIRORJ BOA VISTARR GURUPITO,MANAUS,AM,AN=C3=81POLIS,GO,RIO DE JANEIRO,RJ,BOA VISTA,RR,GURUPI,TO,595,22091
1169,09/02/2015,2.0,3.0,4.0,007=,8.0,9.0,12.0,15.0,16.0,17.0,18.0,21.0,22.0,24.0,025,"R$21.479.= 797,50",4.0,BRAS=C3=8DLIADF DIAMANTINAMG MARING=C3=81PR S=C3=83O PAULOSP,BRAS=C3=8DLIA,DF,DIAMANTINA,MG,MARING=C3=81,PR,S=C3=83O PAULO,SP,699,21979,258006,1351133
1170,11/02/2015,1.0,2.0,4.0,007=,8.0,10.0,13.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0,025,"R$22.048.= 744,50",3.0,BRAS=C3=8DLIADF CuritibaPR INDAIATUBASP,BRAS=C3=8DLIA,DF,Curitiba,PR,INDAIATUBA,SP,634,20663,233917,1240784,"R= $647.596,70","R$1.346,96"
1171,13/02/2015,1.0,7.0,8.0,011=,12.0,13.0,14.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0,023,"R$23.019.= 223,50",1.0,Florian=C3=B3polisSC,Florian=C3=B3polis,SC,355,13902,224453,1173519,"R= $2.300.961,79","R$1.994,33","R$15,00","R$6,00","R$3= ,00","R$0,00"
1172,18/02/2015,2.0,6.0,8.0,009=,10.0,11.0,12.0,13.0,14.0,16.0,19.0,20.0,23.0,24.0,025,"R$19.386.= 712,50",1.0,VARGEM GRANDE PAULISTASP,VARGEM GRANDE PAULISTA,SP,705,14069,198218,1099818,"R= $1.744.500,41","R$1.087,67","R$15,00","R$6,00","R$3= ,00","R$0,00"
1173,20/02/2015,1.0,2.0,4.0,005=,7.0,8.0,9.0,11.0,14.0,16.0,18.0,19.0,20.0,21.0,022,"R$22.464.= 435,00",1.0,PALMEIRA DOESTESP,PALMEIRA DOESTE,SP,413,17120,221866,1181935,"R= $2.163.456,64","R$1.611,82","R$15,00","R$6,00","R$3= ,00","R$0,00"
1174,23/02/2015,1.0,2.0,3.0,005=,6.0,8.0,9.0,10.0,11.0,13.0,15.0,17.0,18.0,19.0,023,"R$21.663.= 780,00",7.0,SERRAES VILA VELHAES S=C3=83O LUISMA MARACAJUMS PARAUAPEBASPA BAURUSP S=C3=83O PAULOSP,SERRA,ES,VILA VELHA,ES,S=C3=83O LUIS,MA,MARACAJU,MS,PARAUAPEBAS,PA,BAURU,SP
1175,25/02/2015,1.0,3.0,4.0,008=,10.0,12.0,13.0,14.0,15.0,19.0,20.0,21.0,23.0,24.0,025,"R$20.850.= 280,50",1.0,LAGOA FORMOSAMG,LAGOA FORMOSA,MG,512,19620,247783,1296485,"R= $1.595.985,68","R$1.370,18","R$15,00","R$6,00","R$3= ,00","R$0,00"
1176,27/02/2015,2.0,3.0,5.0,007=,10.0,11.0,12.0,13.0,15.0,16.0,18.0,19.0,20.0,23.0,025,"R$21.889.= 470,00",3.0,SALVADORBA ESTEIORS SANTA MARIARS,SALVADOR,BA,ESTEIO,RS,SANTA MARIA,RS,698,25478,279317,1403735,"R= $510.552,33","R$964,54"
1177,02/03/2015,2.0,3.0,5.0,006=,8.0,9.0,10.0,11.0,12.0,16.0,17.0,20.0,22.0,23.0,025,"R$22.335.= 670,50",3.0,BRAS=C3=8DLIADF ITAPO=C3=83SC SANTO ANDR=C3=89SP,BRAS=C3=8DLIA,DF,ITAPO=C3=83,SC,SANTO ANDR=C3=89,SP,587,19019,221344,1197839,"R= $701.474,06","R$1.575,84"
1178,04/03/2015,1.0,4.0,7.0,008=,9.0,11.0,12.0,16.0,17.0,18.0,19.0,20.0,21.0,23.0,024,"R$22.001.= 776,50",3.0,CRATOCE CASCAVELPR CANOASRS,CRATO,CE,CASCAVEL,PR,CANOAS,RS,326,15255,206292,1222447,"R= $690.246,30","R$1.954,45"
1179,06/03/2015,1.0,2.0,3.0,005=,6.0,7.0,8.0,9.0,13.0,15.0,18.0,19.0,20.0,21.0,025,"R$23.298.= 714,00",3.0,JIJOCA DE JERICOACOARACE CONTAGEMMG SERRA TALHADAPE,JIJOCA DE JERICOACOARA,CE,CONTAGEM,MG,SERRA TALHADA,PE,496,22763,271836,1490266,"R= $578.249,52","R$1.537,35"
1180,09/03/2015,1.0,2.0,6.0,007=,8.0,9.0,10.0,11.0,13.0,14.0,15.0,19.0,20.0,22.0,023,"R$22.227.= 936,00",0.0,,299,13637,185213,1223802,"R= $0,00","R$2.246,23","R$15,00","R$6,00","R$3,00","R$2.182.774,65","R$5.000.000,00","R$32.155.116,58"
1181,11/03/2015,3.0,4.0,5.0,006=,7.0,8.0,9.0,11.0,13.0,14.0,20.0,21.0,22.0,23.0,024,"R$31.520.= 962,50",3.0,RIO DE JANEIRORJ S=C3=83O FID=C3=89LISRJ LORENASP,RIO DE JANEIRO,RJ,S=C3=83O FID=C3=89LIS,RJ,LORENA,SP,541,19932,283733,1694528,"R= $1.757.452,83","R$1.757,19"
1182,13/03/2015,3.0,6.0,7.0,008=,10.0,12.0,13.0,16.0,18.0,19.0,20.0,21.0,22.0,24.0,025,"R$23.419.= 953,00",3.0,BRAS=C3=8DLIADF BEL=C3=89MPA ATIBAIASP,BRAS=C3=8DLIA,DF,BEL=C3=89M,PA,ATIBAIA,SP,646,17244,241549,1308110,"R= $709.341,60","R$1.447,98"
1183,16/03/2015,1.0,3.0,4.0,009=,11.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,22.0,24.0,025,"R$22.159.= 285,50",3.0,VOLTA REDONDARJ AracajuSE,VOLTA REDONDA,RJ,Aracaju,SE,699,20572,245877,1289743,"R= $622.023,76","R$1.173,46","R$15,00","R$6,00"
1184,18/03/2015,2.0,4.0,6.0,007=,10.0,11.0,12.0,14.0,16.0,17.0,18.0,19.0,20.0,21.0,025,"R$21.476.= 034,00",1.0,GOI=C3=82NIAGO,GOI=C3=82NIA,GO,358,14636,196640,1121789,"R= $2.133.412,26","R$1.833,62","R$15,00","R$6,00","R$3= ,00","R$0,00"
1185,20/03/2015,3.0,5.0,6.0,007=,9.0,13.0,14.0,16.0,18.0,19.0,21.0,22.0,23.0,24.0,025,"R$21.647.= 536,50",3.0,TeresinaPI LIMEIRASP S=C3=83O PAULOSP,Teresina,PI,LIMEIRA,SP,S=C3=83O PAULO,SP,602,22422,251471,1332381,"R= $559.158,61","R$1.224,83"
1186,23/03/2015,1.0,2.0,4.0,005=,6.0,9.0,11.0,14.0,15.0,16.0,18.0,20.0,22.0,23.0,024,"R$21.332.= 187,00",4.0,URBERL=C3=82NDIAMG BEL=C3=89MPA RIO DE JANEIRORJ S=C3=83O PAULOSP,URBERL=C3=82NDIA,MG,BEL=C3=89M,PA,RIO DE JANEIRO,RJ,S=C3=83O PAULO,SP,525,18439,215732,1171676
1187,25/03/2015,1.0,2.0,4.0,007=,8.0,10.0,11.0,12.0,14.0,16.0,19.0,21.0,22.0,23.0,025,"R$20.448.= 493,50",9.0,TIMBIRASMA UBERL=C3=82NDIAMG COLNIZAMT TeresinaPI CASCAVELPR RIO DE JANEIRORJ LAGOINHASP PRAIA GRANDESP ZACARIASSP,TIMBIRAS,MA,UBERL=C3=82NDIA,MG,COLNIZA,MT,Teresina,PI,CASCAVEL,PR,RIO DE JANEIRO,RJ
1188,27/03/2015,1.0,2.0,4.0,005=,6.0,8.0,10.0,12.0,13.0,14.0,18.0,20.0,22.0,23.0,024,"R$21.263.= 713,50",4.0,GOI=C3=82NIAGO S=C3=83O DOMINGOSSC S=C3=83O PAULOSP TABO=C3=83O DA SERRASP,GOI=C3=82NIA,GO,S=C3=83O DOMINGOS,SC,S=C3=83O PAULO,SP,TABO=C3=83O DA SERRA,SP,1810,37375,282671,1281067
1189,30/03/2015,3.0,4.0,5.0,008=,9.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,025,"R$20.835.= 762,00",6.0,MANAUSAM CuritibaPR RIO DE JANEIRORJ PORTO ALEGRERS Ribeir=C3=A3o PretoSP S=C3=83O PAULOSP,MANAUS,AM,Curitiba,PR,RIO DE JANEIRO,RJ,PORTO ALEGRE,RS,Ribeir=C3=A3o Preto,SP,S=C3=83O PAULO,SP
1190,01/04/2015,2.0,3.0,4.0,006=,9.0,10.0,11.0,14.0,15.0,16.0,17.0,21.0,22.0,23.0,025,"R$20.923.= 675,50",1.0,S=C3=83O JOS=C3=89 DOS CAMPOSSP,S=C3=83O JOS=C3=89 DOS CAMPOS,SP,475,15338,184727,1058979,"R= $2.136.248,97","R$1.383,81","R$15,00","R$6,00","R$3= ,00","R$0,00"
1191,04/04/2015,1.0,2.0,3.0,005=,7.0,10.0,12.0,13.0,14.0,16.0,17.0,18.0,22.0,24.0,025,"R$15.665.= 419,50",1.0,CANDIDO GODOIRS,CANDIDO GODOI,RS,411,15298,183368,938082,"R$= 1.252.095,70","R$1.339,10","R$15,00","R$6,00","R$3,= 00","R$0,00"
1192,06/04/2015,1.0,2.0,3.0,004=,5.0,6.0,9.0,11.0,12.0,13.0,15.0,16.0,19.0,20.0,021,"R$16.204.= 819,50",1.0,GOI=C3=82NIAGO,GOI=C3=82NIA,GO,321,12037,159639,924064,"R$= 1.466.301,62","R$1.405,51","R$15,00","R$6,00","R$3,= 00","R$0,00"
1193,08/04/2015,1.0,4.0,7.0,008=,9.0,10.0,13.0,14.0,15.0,18.0,19.0,20.0,22.0,23.0,025,"R$20.574.= 138,00",1.0,SANTO =C3=82NGELORS,SANTO =C3=82NGELO,RS,616,21309,262626,1256782,"R= $1.542.823,69","R$1.100,91","R$15,00","R$6,00","R$3= ,00","R$0,00"
1194,10/04/2015,2.0,4.0,8.0,009=,10.0,12.0,15.0,16.0,17.0,18.0,19.0,22.0,23.0,24.0,025,"R$21.093.= 849,00",1.0,S=C3=83O BERNARDO DO CAMPOSP,S=C3=83O BERNARDO DO CAMPO,SP,522,21582,260475,1318828,"R= $1.566.231,31","R$1.318,87","R$15,00","R$6,00","R$3= ,00","R$0,00"
1195,13/04/2015,1.0,5.0,6.0,009=,10.0,11.0,12.0,14.0,15.0,17.0,18.0,19.0,20.0,22.0,025,"R$21.356.= 226,00",2.0,CuritibaPR S=C3=83O PAULOSP,Curitiba,PR,S=C3=83O PAULO,SP,348,14838,198939,1148531,"R= $1.032.629,25","R$1.826,05","R$15,00","R$6,00"
1196,15/04/2015,1.0,2.0,4.0,006=,7.0,8.0,9.0,11.0,12.0,16.0,17.0,18.0,19.0,20.0,023,"R$20.577.= 646,50",3.0,BETIMMG S=C3=83O LEOPOLDORS S=C3=83O PAULOSP,BETIM,MG,S=C3=83O LEOPOLDO,RS,S=C3=83O PAULO,SP,354,15957,176143,1056763,"R= $696.392,77","R$1.815,89"
1197,17/04/2015,1.0,4.0,5.0,006=,7.0,8.0,11.0,13.0,14.0,16.0,17.0,18.0,20.0,24.0,025,"R$21.297.= 295,50",3.0,APARECIDA DO RIO DOCEGO URBANO SANTOSMA CuritibaPR,APARECIDA DO RIO DOCE,GO,URBANO SANTOS,MA,Curitiba,PR,387,14561,203302,1124707,"R= $691.984,93","R$1.650,53"
1198,20/04/2015,1.0,3.0,4.0,006=,7.0,9.0,10.0,11.0,15.0,17.0,20.0,21.0,22.0,23.0,025,"R$20.148.= 141,00",1.0,FORTALEZACE,FORTALEZA,CE,438,17570,227127,1151587,"R= $1.723.524,11","R$1.729,66","R$15,00","R$6,00","R$3= ,00","R$0,00"
1199,22/04/2015,1.0,2.0,3.0,004=,5.0,6.0,10.0,14.0,15.0,16.0,19.0,21.0,22.0,24.0,025,"R$16.675.= 675,50",2.0,A=C3=87AIL=C3=82NDIAMA S=C3=83O PAULOSP,A=C3=87AIL=C3=82NDIA,MA,S=C3=83O PAULO,SP,521,11269,152319,892622,"R$= 814.375,76","R$1.374,15","R$15,00","R$6,00"
1200,24/04/2015,3.0,4.0,5.0,006=,7.0,8.0,10.0,11.0,12.0,14.0,15.0,16.0,22.0,24.0,025,"R$20.839.= 179,00",2.0,CAMPO GRANDEMS CUIAB=C3=81MT,CAMPO GRANDE,MS,CUIAB=C3=81,MT,350,14640,195461,1175668,"R= $967.752,48","R$1.701,54","R$15,00","R$6,00"
1201,27/04/2015,5.0,6.0,9.0,010=,11.0,14.0,16.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,025,"R$20.655.= 547,50",2.0,ALAGOINHASBA CAROLINAMA,ALAGOINHAS,BA,CAROLINA,MA,406,14855,200625,1107123,"R= $988.362,39","R$1.498,09","R$15,00","R$6,00"
1202,29/04/2015,2.0,3.0,4.0,008=,10.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,23.0,24.0,025,"R$20.236.= 188,00",5.0,MACEI=C3=93AL FORTALEZACE SANTA JULIANAMG CARUARUPE S=C3=83O PAULOSP,MACEI=C3=93,AL,FORTALEZA,CE,SANTA JULIANA,MG,CARUARU,PE,S=C3=83O PAULO,SP,430,17761
1203,02/05/2015,1.0,2.0,3.0,005=,6.0,11.0,12.0,13.0,14.0,15.0,17.0,22.0,23.0,24.0,025,"R$17.071.= 273,50",4.0,BAYEUXPB PORTO ALEGRERS S=C3=83O PAULOSP,BAYEUX,PB,PORTO ALEGRE,RS,S=C3=83O PAULO,SP,351,23666,164273,962740,"R$= 373.757,42","R$1.310,57"
1204,04/05/2015,1.0,2.0,5.0,007=,8.0,9.0,12.0,13.0,15.0,16.0,19.0,20.0,21.0,22.0,023,"R$17.034.= 378,00",8.0,SALVADORBA CAMPO GRANDEMS CAMPO LARGOPR CuritibaPR GRAVATA=C3=8DRS Florian=C3=B3polisSC ENGENHEIRO COELHOSP MOGI GUA=C3=87USP,SALVADOR,BA,CAMPO GRANDE,MS,CAMPO LARGO,PR,Curitiba,PR,GRAVATA=C3=8D,RS,Florian=C3=B3polis,SC
1205,06/05/2015,1.0,3.0,6.0,008=,9.0,11.0,12.0,14.0,17.0,18.0,20.0,21.0,22.0,24.0,025,"R$20.773.= 822,50",2.0,SALVADORBA LONDRINAPR,SALVADOR,BA,LONDRINA,PR,841,22569,231468,1163523,"R= $893.289,14","R$933,78","R$15,00","R$6,00"
