Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecada=C3=A7=C3=A3o_Total,Ganhadores_15_N=C3=BAmeros,Cidade,Ganhadores_14_N=C3=BAmeros,Ganhadores_13_N=C3=BAmeros,Ganhadores_12_N=C3=BAmeros,Ganhadores_11_N=C3=BAmeros,Valor_Rateio_15_N=C3=BAmeros,Valor_Rateio_14_N=C3=BAmeros,Valor_Rateio_13_N=C3=BAmeros,Valor_Rateio_12_N=C3=BAmeros,Valor_Rateio_11_N=C3=BAmeros,Acumulado_15_N=C3=BAmeros,Estimativa_Pr=C3=AAmio,Valor_Acumulado_Especial
465,28/09/2009,1.0,2.0,3.0,004<= /td>,6.0,7.0,9.0,10.0,11.0,13.0,18.0,19.0,21.0,22.0,025,"R$19.053.4= 26,25",2.0,BELO HORIZONTEMG CRUZEIROSP,BELO HORIZONTE,MG,CRUZEIRO,SP,455,20974,246908,1400828,"R= $830.150,42","R$1.563,86","R$12,50","R$5,00"
466,01/10/2009,2.0,6.0,7.0,008<= /td>,10.0,11.0,12.0,14.0,17.0,18.0,19.0,20.0,21.0,22.0,025,"R$18.383.5= 51,25",1.0,MACHADOMG,MACHADO,MG,328,13667,199100,1156871,"R= $1.976.545,27","R$2.582,60","R$12,50","R$5,00","R$2= ,50","R$0,00"
467,05/10/2009,2.0,4.0,5.0,006<= /td>,7.0,10.0,13.0,14.0,15.0,17.0,18.0,21.0,22.0,24.0,025,"R$19.225.6= 02,50",5.0,BRAS=C3=8DLIADF TAIL=C3=82NDIAPA GUARULHOSSP PIRACICABASP S=C3=83O PAULOSP,BRAS=C3=8DLIA,DF,TAIL=C3=82NDIA,PA,GUARULHOS,SP,PIRACICABA,SP,S=C3=83O PAULO,SP,565,17521
468,08/10/2009,2.0,3.0,5.0,006<= /td>,9.0,10.0,12.0,13.0,15.0,17.0,18.0,21.0,22.0,24.0,025,"R$17.983.2= 96,25",8.0,ARAX=C3=81MG BEL=C3=89MPA INGAPB RIO DE JANEIRORJ S=C3=83O PAULOSP,ARAX=C3=81,MG,BEL=C3=89M,PA,INGA,PB,RIO DE JANEIRO,RJ,S=C3=83O PAULO,SP,954,23771
469,13/10/2009,1.0,2.0,5.0,006<= /td>,7.0,8.0,10.0,11.0,13.0,14.0,18.0,19.0,22.0,23.0,025,"R$15.901.8= 22,50",3.0,Ribeir=C3=A3o PretoSP S=C3=83O PAULOSP,Ribeir=C3=A3o Preto,SP,S=C3=83O PAULO,SP,617,17705,208381,1155000,"R= $465.357,53","R$1.385,31","R$12,50","R$5,00"
470,15/10/2009,1.0,3.0,4.0,005<= /td>,6.0,7.0,8.0,10.0,11.0,13.0,15.0,18.0,20.0,22.0,023,"R$15.797.3= 96,25",3.0,GL=C3=93RIA DE DOURADOSMS RIO DE JANEIRORJ S=C3=83O PAULOSP,GL=C3=93RIA DE DOURADOS,MS,RIO DE JANEIRO,RJ,S=C3=83O PAULO,SP,576,23017,268187,1174744,"R= $390.100,47","R$1.243,94"
471,19/10/2009,2.0,3.0,4.0,006<= /td>,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,20.0,24.0,025,"R$16.900.5= 41,25",1.0,PILARAL,PILAR,AL,314,14393,182221,1128926,"R= $1.727.808,67","R$2.358,25","R$12,50","R$5,00","R$2= ,50","R$0,00"
472,22/10/2009,1.0,2.0,4.0,005<= /td>,6.0,7.0,8.0,11.0,12.0,13.0,14.0,15.0,17.0,18.0,020,"R$16.716.7= 63,75",3.0,VI=C3=87OSAMG Ribeir=C3=A3o PretoSP SOCORROSP,VI=C3=87OSA,MG,Ribeir=C3=A3o Preto,SP,SOCORRO,SP,446,14550,226525,1064480,"R= $552.536,31","R$1.592,83"
473,27/10/2009,1.0,2.0,5.0,006<= /td>,7.0,8.0,9.0,11.0,12.0,15.0,17.0,19.0,22.0,23.0,025,"R$16.817.1= 23,75",8.0,SALVADORBA VILA VELHAES CASTEL=C3=82NDIAGO BELO JARDIMPE UMUARAMAPR OSASCOSP PILAR DO SULSP S=C3=83O PAULOSP,SALVADOR,BA,VILA VELHA,ES,CASTEL=C3=82NDIA,GO,BELO JARDIM,PE,UMUARAMA,PR,OSASCO,SP
474,29/10/2009,1.0,2.0,3.0,005<= /td>,9.0,10.0,11.0,12.0,15.0,16.0,17.0,18.0,21.0,23.0,024,"R$15.989.4= 61,25",2.0,NOVA FRIBURGORJ RIO DE JANEIRORJ,NOVA FRIBURGO,RJ,RIO DE JANEIRO,RJ,461,17059,207057,1118403,"R= $733.503,80","R$1.363,81","R$12,50","R$5,00"
